n_timesteps,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,LossAfter,ItrTime,Time-Sampling,train-EnvExecTime,Itr,Time-SampleProc,train-MinReturn,Time,train-MaxReturn,LossBefore,Time-Optimization,train-NumTrajs,train-PolicyExecTime
540000,128.925499510343,223.91576008640527,6.285544929401626,-0.0027526058,18.29599380493164,18.02501654624939,3.07438325881958,53,0.022974014282226562,196.06013893260277,994.1618709564209,240.37901375443985,-8.712366e-06,0.24700140953063965,100,14.685553550720215
550000,129.11799012877128,224.25175117785577,4.901742045990885,-0.0030885888,17.90099310874939,17.62699270248413,2.9468343257904053,54,0.024997234344482422,211.63559635005583,1012.0758640766144,242.27092548582897,-8.643733e-06,0.24900317192077637,100,14.393896341323853
560000,129.34273788008275,224.755636751546,5.5482119763987106,-0.0025832937,17.96899175643921,17.699995517730713,3.0086357593536377,55,0.022997379302978516,199.15555180385928,1030.0578553676605,239.7724270099402,-8.581053e-06,0.24399876594543457,100,14.428297519683838
570000,129.84846506312041,225.73639508200816,6.416274668084079,-0.004619722,18.155992031097412,17.884026527404785,2.9789984226226807,56,0.023968219757080078,188.79761968186187,1048.2268464565277,245.54149345646894,-8.498315e-06,0.24799728393554688,100,14.605697393417358
580000,130.032509485373,225.96208407271345,5.356187993574281,-0.0019109487,18.14699387550354,17.868025064468384,3.006648302078247,57,0.020966768264770508,213.12671682385525,1066.3868403434753,244.04589710027477,-8.4209005e-06,0.2559986114501953,100,14.573726415634155
590000,130.40188608083838,226.70095502747918,5.21509831076713,-0.0034879672,17.892993211746216,17.616995334625244,3.062518835067749,58,0.018000364303588867,214.70725263333668,1084.2928335666656,248.00087282776468,-8.318101e-06,0.25499892234802246,100,14.287210702896118
600000,130.4856867183192,227.5519484119632,8.807134794529876,-0.0019081447,17.79199504852295,17.51799488067627,2.974172830581665,59,0.02599811553955078,183.7631151435317,1102.0978288650513,244.41555153500434,-8.230731e-06,0.24700140953063965,100,14.294773817062378
610000,130.70903770684737,227.49993481944549,5.770614635620705,-0.0045212246,17.817992687225342,17.545994758605957,2.972146511077881,60,0.026001453399658203,214.08652255781251,1119.9288187026978,247.11557575610462,-8.123337e-06,0.24599647521972656,100,14.257946729660034
620000,131.55990024831942,229.13119484444655,5.914291671388153,-0.0032205349,17.779993057250977,17.506996393203735,2.944805383682251,61,0.017995595932006836,215.15837108567032,1137.7218117713928,249.98594859170638,-8.026445e-06,0.2550010681152344,100,14.315317630767822
630000,131.44025687294743,229.06980660041,7.827039519372941,-0.003211988,17.666993141174316,17.40001130104065,2.873040199279785,62,0.022980451583862305,191.69553726833743,1155.4018049240112,246.9873201829584,-7.923478e-06,0.2440013885498047,100,14.27310848236084
640000,131.46541752692164,229.00370088016933,7.4774960030928,-0.0030423554,17.695985794067383,17.433040380477905,2.964120864868164,63,0.020946979522705078,195.7415857279299,1173.110797405243,248.8311802286219,-7.85444e-06,0.24199843406677246,100,14.206681489944458
650000,132.3797992126981,231.08481391355906,5.961583516604922,-0.002979961,17.675991773605347,17.404024362564087,2.9514880180358887,64,0.02299976348876953,217.4670914237847,1190.799789428711,246.95823604297343,-7.77804e-06,0.2469956874847412,100,14.19819188117981
660000,132.14922822133462,230.52721004789362,6.994810121827178,-0.0025915776,17.659992694854736,17.39099383354187,2.959851026535034,65,0.02300119400024414,207.25704800424953,1208.4727833271027,249.9081724434762,-7.683342e-06,0.2449970245361328,100,14.1840980052948
