train-MinReturn,n_timesteps,train-PolicyExecTime,train-AverageReturn,ItrTime,train-StdReturn,train-EnvExecTime,Time-Optimization,Time,train-NumTrajs,train-MaxReturn,LossAfter,Time-SampleProc,Itr,LossBefore,Time-Sampling,train-AverageDiscountedReturn
26.405559014492127,1620000,13.847442626953125,124.33509530228238,16.98699116706848,34.58040829969344,2.5784544944763184,0.2649986743927002,2713.123786211014,100,202.31999981621652,-0.0110936705,0.026996612548828125,161,9.155274e-09,16.693995237350464,71.67216356581469
6.874433357069163,1630000,13.421601295471191,128.6365666492651,16.505990982055664,32.56875522589457,2.533472776412964,0.2609982490539551,2729.643778324127,100,198.7340383359952,-0.0129736485,0.021000146865844727,162,-6.1035155e-09,16.223992586135864,73.90067443308075
11.737880101806216,1640000,13.567380905151367,125.60719791771932,16.507991075515747,36.92309310872501,2.3678300380706787,0.27397727966308594,2746.164770126343,100,229.77918560576032,-0.0153030185,0.021999597549438477,163,-6.1035155e-09,16.209994077682495,72.50505035614344
22.957805729951083,1650000,13.611828804016113,128.08879086913473,16.628992557525635,29.797388048611847,2.4592206478118896,0.27699947357177734,2762.8067634105682,100,198.17822175777542,-0.014930176,0.02396869659423828,164,9.918213e-09,16.327024459838867,74.42955482815636
10.440283652796259,1660000,13.677619695663452,129.0052572353176,16.744990348815918,33.23556221118952,2.5069031715393066,0.25999879837036133,2779.5647537708282,100,197.69717042239137,-0.014724695,0.0279998779296875,165,-2.4414062e-08,16.45699167251587,74.2424764663425
45.48009878461287,1670000,13.595741510391235,129.86325895434157,16.616989850997925,29.712664484490062,2.4833908081054688,0.26599860191345215,2796.194744825363,100,195.42955752710304,-0.014774514,0.021997451782226562,166,1.2207031e-08,16.328993797302246,75.18567295054817
5.579425012514534,1680000,13.732433557510376,135.93098793156088,16.77799129486084,33.14691532732169,2.495175361633301,0.2649984359741211,2812.9857370853424,100,200.860901057558,-0.01459354,0.022977113723754883,167,-0.00047931823,16.489015817642212,78.82015937730627
15.49260897282958,1690000,13.701265811920166,131.43131024329927,16.690991640090942,32.648283746938475,2.45115327835083,0.260998010635376,2829.6897282600403,100,194.20144809404457,-0.01735736,0.03299856185913086,168,-0.0035571472,16.396995067596436,76.34673637848509
20.87607619702975,1700000,13.277109622955322,136.76798991336912,16.450990438461304,31.856934144494932,2.5766279697418213,0.25996875762939453,2846.154720067978,100,209.0963532756657,-0.015301172,0.0300295352935791,169,1.373291e-08,16.16099214553833,79.2121158701662
21.449612418183406,1710000,13.725411653518677,137.41744182862024,16.706990957260132,34.07763524612787,2.4468796253204346,0.25699901580810547,2862.8747119903564,100,215.75538498856542,-0.009408511,0.01999664306640625,170,-6.1035155e-09,16.428994178771973,79.24146467876693
