Itr,Time-SampleProc,train-MaxReturn,train-PolicyExecTime,train-MinReturn,train-StdReturn,Time-Sampling,Time-Optimization,ItrTime,train-NumTrajs,LossBefore,n_timesteps,Time,train-EnvExecTime,LossAfter,train-AverageReturn,train-AverageDiscountedReturn
152,0.01699972152709961,282.2735501004212,14.341110944747925,257.56229154708643,3.9006804663340735,17.675734996795654,0.26000094413757324,17.956736087799072,100,0.01872304,1530000,2776.4916892051697,3.068922281265259,-0.0010226135,275.3896717950076,150.60667450294383
153,0.02599930763244629,282.340389288783,14.383810997009277,258.5036322334558,4.12338857874112,17.64532971382141,0.25603318214416504,17.927362203598022,100,0.017793,1540000,2794.432050704956,2.9945006370544434,-0.0029763947,275.28665613996253,150.63649825143054
154,0.02599930763244629,282.75310612723706,14.640793561935425,263.00970950652294,3.941400516652322,17.884990453720093,0.2599978446960449,18.171989679336548,100,-6.1035155e-09,1550000,2812.6170382499695,2.998072862625122,-0.0019869811,275.9316660135481,150.85317880640466
155,0.02700042724609375,282.78130449431194,14.514655828475952,264.5959292044197,3.699014687517497,17.849164485931396,0.29004478454589844,18.16620969772339,100,-1.8310548e-08,1560000,2830.796248435974,3.048854351043701,0.002851626,276.41955159758857,151.08117012713527
156,0.025852203369140625,282.67593529679266,14.85174036026001,234.5082017908191,5.6112735351552905,18.167176485061646,0.2690002918243408,18.46402907371521,100,-6.246567e-09,1570000,2849.2742767333984,3.038987636566162,-0.0024425515,275.5206800196156,150.7241739915569
157,0.023998260498046875,285.45735525628226,14.678609609603882,268.08648854522346,3.3760024393677823,18.008349895477295,0.2739980220794678,18.30634617805481,100,0.014810242,1580000,2867.594622850418,3.078396797180176,0.0048636016,276.5647199418558,151.20485439355846
158,0.019001007080078125,284.4544068845611,14.673546314239502,263.2136257392275,3.882037699477118,18.085848808288574,0.26999831199645996,18.375772953033447,100,-6.1035155e-09,1590000,2885.983472108841,3.092287302017212,-0.0017228455,277.0220055647337,151.40161169457474
159,0.025925159454345703,283.81981240038016,15.079995393753052,260.6717959161543,3.4860467869429783,18.50493836402893,0.24900221824645996,18.78086543083191,100,3.3378602e-09,1600000,2904.7773389816284,3.1291964054107666,0.003159052,277.83891318368717,151.61930774108447
160,0.025002241134643555,285.25276888975276,14.60179877281189,261.2680387722763,4.033429344290981,17.93821930885315,0.24984264373779297,18.213064193725586,100,-9.155274e-09,1610000,2923.003402709961,3.0376405715942383,0.0013935058,278.19410698876334,151.694393108948
161,0.01799917221069336,284.43837055887,14.352362155914307,252.25505284977214,4.52453804087432,17.63922667503357,0.24330973625183105,17.902532815933228,100,1.1444092e-09,1620000,2940.918936729431,3.01501727104187,0.0032162576,278.9878524850267,151.97500133752956
162,0.025998830795288086,285.8015842269331,14.625235795974731,261.32806740770866,4.385316642025133,17.909721851348877,0.24752140045166016,18.183242082595825,100,5.340576e-09,1630000,2959.115178346634,2.9954826831817627,0.006820086,278.0523064058551,151.84094479640186
163,0.0260012149810791,285.7107291583619,14.678000211715698,270.2659658395914,2.950174545125244,18.044846534729004,0.2570009231567383,18.32784867286682,100,-1.8310548e-08,1640000,2977.4560272693634,3.096101760864258,-0.0031656371,277.783852725623,151.6500609810584
164,0.019998550415039062,286.1799088228107,15.308595180511475,260.9229124969078,4.029836368455502,18.74568486213684,0.264998197555542,19.031681776046753,100,3.0517577e-09,1650000,2996.5017051696777,3.1536402702331543,-0.003994992,277.6968046461235,151.44193563214012
165,0.02402973175048828,285.69041327494915,14.857097148895264,264.8306043839893,3.8141741437689536,18.177156448364258,0.25154924392700195,18.453736782073975,100,3.0517577e-09,1660000,3014.9684422016144,3.0499982833862305,-0.0032443635,278.1172038444782,151.6853629820673
166,0.02500128746032715,286.2054347361864,14.592453002929688,270.3716885714084,2.92514714902337,17.902125120162964,0.2886202335357666,18.215746641159058,100,4.577637e-09,1670000,3033.1981160640717,3.0424091815948486,-0.0017318489,278.7902122188669,152.14535760221779
167,0.022963762283325195,285.6569462294618,14.743833303451538,255.12708057961277,4.89455943179041,18.037993669509888,0.26439762115478516,18.326464414596558,100,9.155274e-09,1680000,3051.5424797534943,3.006589651107788,-0.0050448915,277.77506506706993,151.7711290139883
168,0.02700066566467285,284.71449650910796,14.509085655212402,261.7473021978996,4.6680166417125175,17.848997116088867,0.27199888229370117,18.14899706840515,100,-1.2207031e-08,1690000,3069.7044773101807,3.065563917160034,-0.0033381318,278.14904259670783,151.74222722454903
169,0.017998933792114258,284.64329374064806,14.686798095703125,261.0263082842734,3.9604776813440195,18.12419629096985,0.26252293586730957,18.406720638275146,100,5.0544737e-09,1700000,3088.1241977214813,3.1301827430725098,0.0048349644,278.575043166724,151.86168553732006
170,0.020000219345092773,283.46693686182874,14.453660249710083,264.5061560598937,3.3418607125826854,17.714816570281982,0.2649984359741211,17.999815225601196,100,-1.8310548e-08,1710000,3106.138013124466,2.9873855113983154,0.0010033326,278.5063419356458,152.128137390694
171,0.023000001907348633,284.47572837940874,16.215561151504517,223.73301617201815,8.161560010962344,19.84519910812378,0.2799985408782959,20.14919686317444,100,6.1035155e-09,1720000,3126.300209760666,3.334935426712036,-0.004175412,276.8179389455376,151.6042372625004
172,0.02499985694885254,283.60673606216386,14.694786787033081,259.8727939753769,3.9803452743870027,18.038911819458008,0.2850010395050049,18.348912715911865,100,-1.8310548e-08,1730000,3144.6621232032776,3.058384895324707,0.00074475707,278.1482536873322,152.13449305928535
173,0.02700042724609375,286.0113883477651,15.96914005279541,267.0182868383425,3.5389962708129263,19.76216173171997,0.29399967193603516,20.0831618309021,100,6.1035155e-09,1740000,3164.7602858543396,3.4702959060668945,-0.0032043336,279.51074893835795,152.2649758989861
174,0.024001598358154297,286.5915638986591,15.04917597770691,264.0444366147252,3.3768124040484953,18.591037034988403,0.2629990577697754,18.880037546157837,100,-1.8310548e-08,1750000,3183.6553201675415,3.259371757507324,-0.0029953965,279.0825694840592,152.30265223958028
175,0.0260009765625,286.9256942429281,15.35295820236206,234.84141678792622,5.524962656963252,19.026183128356934,0.3079986572265625,19.360182762145996,100,0.0002784729,1760000,3203.029503107071,3.3640997409820557,-0.0047942963,279.3489999093992,152.5006020287048
176,0.031000852584838867,285.60532395158657,15.599506855010986,256.8285378159916,4.1288364208947215,19.317089557647705,0.26999855041503906,19.618088960647583,100,-1.7547608e-08,1770000,3222.662593126297,3.404351234436035,-0.0019406594,278.88085152487764,152.3939508197743
177,0.13599801063537598,287.8172789792708,26.575484037399292,267.14995588791334,3.323816818535736,31.56894278526306,0.6597175598144531,32.36465835571289,100,1.373291e-08,1780000,3255.0402517318726,4.495551824569702,-0.0029105644,279.32425076603647,152.63585652449132
178,0.02289581298828125,286.80730316837605,24.446516752243042,144.07448671503448,14.104824074074324,29.40790581703186,0.2519974708557129,29.683804035186768,100,-1.8310548e-08,1790000,3284.84405374527,4.499866962432861,-0.0015093262,277.9558357710302,152.0803447720853
179,0.02699899673461914,284.89458884357344,14.646786451339722,259.0320737891018,3.9581268695601004,18.00741147994995,0.2579991817474365,18.294411659240723,100,1.1444092e-08,1800000,3303.1514644622803,3.09232759475708,-0.0007421379,279.50140244318806,152.66593418273112
180,0.031000137329101562,285.783199985526,15.32705807685852,263.9087406964963,3.8822981961022967,18.953809022903442,0.2669994831085205,19.251808643341064,100,1.6784668e-08,1810000,3322.4167811870575,3.251889705657959,-0.0011119598,279.9279603713541,152.7291808185099
181,0.025998830795288086,286.32084533321733,14.939230918884277,150.17631743354747,13.344747049134295,18.397486448287964,0.2664322853088379,18.68991756439209,100,0.004505414,1820000,3341.119697332382,3.181623697280884,-0.0027212463,278.69421118657755,152.29560212829577
182,0.02895951271057129,285.99070733165297,14.792667865753174,269.48337964850737,3.421481678608877,18.18769145011902,0.2560007572174072,18.473646879196167,100,1.2207031e-08,1830000,3359.607344388962,3.116089105606079,-0.0014411269,279.9643207826323,152.90510031789935
183,0.02602839469909668,285.3456247049225,14.562047719955444,272.4336869973169,2.65111078119198,17.78960680961609,0.28096771240234375,18.09660291671753,100,-1.2254715e-08,1840000,3377.7169466018677,2.9569790363311768,-0.0010793287,280.2016668112335,152.91668404856946
184,0.0189974308013916,286.4396449407101,14.627830743789673,271.7329888205046,2.965128030427029,17.961814403533936,0.28100109100341797,18.262812852859497,100,2.2888185e-09,1850000,3395.9937613010406,3.0540506839752197,0.0020920017,281.1141151620215,153.21607324481934
