train-PolicyExecTime,train-MaxReturn,train-StdReturn,train-AverageReturn,n_timesteps,Time-Sampling,ItrTime,Time-Optimization,Time,LossBefore,Itr,train-NumTrajs,train-MinReturn,LossAfter,Time-SampleProc,train-EnvExecTime,train-AverageDiscountedReturn
13.807054996490479,148.8406368966947,57.82885606027921,-6.276008072739427,2060000,16.619618892669678,16.898588180541992,0.2559981346130371,3519.314202070236,-1.8310548e-08,205,100,-169.28109678018834,-0.022825137,0.020992040634155273,2.547213315963745,-2.520911869205026
13.926315784454346,162.82988734802387,56.59269040790859,-6.019961842652213,2070000,16.62987518310547,16.91584324836731,0.2609744071960449,3536.24404501915,3.051758e-08,206,100,-135.6807520358525,-0.0254325,0.023970365524291992,2.454972743988037,-3.2364113496177516
13.81899881362915,136.15203733571224,57.564179145080026,-1.2178282339057467,2080000,16.541767597198486,16.836735010147095,0.264998197555542,3553.094779253006,9.155274e-09,207,100,-126.28726401858869,-0.03786255,0.029969215393066406,2.476439952850342,0.4907359553338789
13.838902950286865,135.46866653077157,48.92524155758097,-14.850132749490708,2090000,16.631094455718994,16.945063829421997,0.28299999237060547,3570.0528440475464,-2.4414062e-08,208,100,-107.25250389756405,-0.040818695,0.028974533081054688,2.5301220417022705,-8.038496294268109
14.17997932434082,167.0291441684707,59.63762176042121,-14.622141529337991,2100000,16.912551164627075,17.202516794204712,0.25899648666381836,3587.2683594226837,-1.2207031e-08,209,100,-157.6223153247328,-0.044126455,0.02896904945373535,2.461474657058716,-7.355893408956459
13.896048307418823,153.40309971450068,57.024133632101936,-13.42554947531156,2110000,16.659672737121582,16.943673610687256,0.2579972743988037,3604.224031686783,-0.0029169067,210,100,-142.99282316335487,-0.045821387,0.025002002716064453,2.485783100128174,-6.942205284072839
13.85320496559143,178.15350311096302,54.413090984975526,-14.278506392310424,2120000,16.640862464904785,16.922861337661743,0.25800037384033203,3621.1598925590515,4.577637e-09,211,100,-104.27878368136655,-0.05873297,0.023998498916625977,2.52854061126709,-6.480012324451447
13.917366981506348,164.2987740194588,51.84986106499739,-17.429447698823655,2130000,16.75397562980652,17.077975273132324,0.29796767234802246,3638.250866174698,-1.5258789e-09,212,100,-116.25782963160236,-0.48270777,0.025030851364135742,2.5260860919952393,-7.14719222592032
13.869663953781128,194.20892091666985,57.83119419027992,-9.48822934677375,2140000,16.705008506774902,16.98597526550293,0.25300002098083496,3655.249841451645,1.525879e-08,213,100,-139.29781955625208,-0.047473744,0.026978254318237305,2.567758560180664,-3.783672934601445
13.999098777770996,144.69686814656293,52.073872227316265,-7.72599206578039,2150000,16.768277168273926,17.04927635192871,0.2519979476928711,3672.3121161460876,-3.6621095e-08,214,100,-125.7008205095902,-0.20454085,0.029001235961914062,2.5151941776275635,-0.07017959450883829
