n_timesteps,train-EnvExecTime,train-NumTrajs,Time-SampleProc,train-PolicyExecTime,Itr,Time-Sampling,Time,train-StdReturn,LossBefore,train-MaxReturn,train-MinReturn,ItrTime,train-AverageDiscountedReturn,LossAfter,Time-Optimization,train-AverageReturn
770000,2.501269817352295,100,0.02299809455871582,13.569700241088867,76,16.32999324798584,1277.3874669075012,26.97667329883861,-3.874545e-06,117.15445570559031,-1.032770933188958,16.59499168395996,29.496664575428834,-0.012762276,0.24200034141540527,50.284885630692145
780000,2.425596237182617,100,0.02897357940673828,13.669520378112793,77,16.335020780563354,1294.013459444046,30.97490401509676,-3.7352502e-06,132.7324980512103,-17.965219080774425,16.612992525100708,32.98879563657481,-0.008607739,0.24700069427490234,55.67194941664604
790000,2.523714303970337,100,0.02199721336364746,13.381115436553955,78,16.16799283027649,1310.4674501419067,34.19080439888392,-3.5574471e-06,122.00191522461934,-45.622056385420805,16.440991640090942,32.158613774530956,-0.0077745593,0.2500007152557373,53.82765066708596
800000,2.532111167907715,100,0.03100132942199707,13.624572277069092,79,16.417991399765015,1327.1694419384003,32.293051464316484,-3.4098375e-06,137.43066301366972,-72.87743244636934,16.68899178504944,33.79402409779331,0.00048622672,0.23999905586242676,58.142412249861735
810000,2.5276451110839844,100,0.021999359130859375,13.425163507461548,80,16.204992294311523,1343.6514341831207,34.833269917437995,-3.339299e-06,132.79157831657471,-30.07614709301173,16.468992233276367,30.90876236921765,-0.00782746,0.24100065231323242,53.503083017469756
820000,2.565904140472412,100,0.021996021270751953,13.39129090309143,81,16.22399353981018,1360.157425403595,38.512860256871825,-3.2047164e-06,123.2257898653581,-83.88510919424155,16.492989778518677,32.37557653770361,-0.006151303,0.2460005283355713,53.51939984587017
830000,2.5255472660064697,100,0.023002147674560547,13.594468116760254,82,16.41999053955078,1376.8674170970917,29.333006202713108,-3.0455744e-06,175.95126972449444,-6.976011690234179,16.695990800857544,35.66977205615872,-0.007322304,0.24899697303771973,60.455224773955216
840000,2.4996864795684814,100,0.02199840545654297,13.63756251335144,83,16.396991968154907,1393.5414090156555,28.0362463016207,-2.9193804e-06,110.3687733238754,-23.25175945239921,16.65999150276184,33.22713059617019,-0.013145192,0.24100112915039062,55.15400526050874
850000,2.5716934204101562,100,0.030998706817626953,13.627901077270508,84,16.43799328804016,1410.2674005031586,30.14429784632299,-2.8711415e-06,123.02630681987092,-16.537461616033536,16.711992502212524,37.76869892634861,-0.0119928215,0.24100041389465332,64.05186123987183
860000,2.5056912899017334,100,0.02099919319152832,13.590498685836792,85,16.34802770614624,1426.906393289566,32.38247695447929,-2.7697251e-06,133.20356148711463,-50.00103395258638,16.625993013381958,34.29493404673972,-0.008470704,0.25499916076660156,57.30341578089113
870000,2.501688241958618,100,0.027975082397460938,13.73743987083435,86,16.506019353866577,1443.6943836212158,31.35593887252674,-2.6978933e-06,138.7853486505053,-12.847085562229585,16.774991273880005,36.66828279540821,-0.013740153,0.2409968376159668,61.62953048808566
880000,2.4102683067321777,100,0.026999473571777344,13.266404628753662,87,15.928993701934814,1459.9163773059845,34.81879442715102,-2.6344621e-06,129.7484658688157,-19.35309561232474,16.208993911743164,37.42004384041793,-0.014968405,0.25300073623657227,63.72158444837179
890000,2.530522108078003,100,0.022998571395874023,13.673503637313843,88,16.441990852355957,1476.6463677883148,32.257173386201224,-2.5448976e-06,157.35224898780925,-19.577898422112415,16.716992378234863,40.460950370206,-0.013528123,0.25100064277648926,68.0581307428754
900000,2.4987244606018066,100,0.029998779296875,13.46527624130249,89,16.194993019104004,1493.1283588409424,33.60756893448655,-2.4338306e-06,154.56323120157958,-49.6953582897577,16.468991994857788,34.31706030440396,-0.013500891,0.24300003051757812,58.50063897874819
