train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,Time-Optimization,Time-SampleProc,Time-Sampling,Time,train-StdReturn,Itr,n_timesteps,train-MinReturn,train-MaxReturn,ItrTime,train-PolicyExecTime,LossAfter,train-AverageReturn,train-NumTrajs
0.34339910742933477,2.5834670066833496,-9.474589e-06,0.24699902534484863,0.02699899673461914,16.82111406326294,1001.2103750705719,19.837938140454014,58,590000,-32.58432800603938,59.41743786216119,17.096112966537476,13.995600461959839,-0.01623324,0.00738547442912239,100
0.9595242667098656,2.6018054485321045,-9.405688e-06,0.24899888038635254,0.0260007381439209,16.76296043395996,1018.2613356113434,22.238703649309237,59,600000,-87.67250652469471,53.409989613832764,17.037960052490234,13.889169216156006,-0.014822406,1.764288077912518,100
-1.7525710913405483,2.6468827724456787,-9.28447e-06,0.2479996681213379,0.021000146865844727,16.74795937538147,1035.2932941913605,26.983743608790046,60,610000,-81.78184740203204,67.24983414422806,17.01795792579651,13.810096502304077,-0.017263852,-3.94821147945654,100
0.16735757168775475,2.67168927192688,-9.181553e-06,0.26600074768066406,0.02499985694885254,16.497960090637207,1052.0972547531128,20.878018195311075,61,620000,-75.31450617415807,67.91335034098987,16.789959192276,13.581304550170898,-0.015445838,0.7762992131536562,100
2.7999116427314537,2.5899224281311035,-9.04104e-06,0.26599645614624023,0.023974180221557617,16.309019565582275,1068.7102446556091,19.323908465734828,62,630000,-52.03393214613771,47.43739756284343,16.599990606307983,13.450392961502075,-0.016978538,4.158462771673962,100
3.9290668272203018,2.5541930198669434,-8.887957e-06,0.2579982280731201,0.026003360748291016,15.900974035263062,1084.9102075099945,23.4928156854269,63,640000,-63.72620634128472,68.90440389643456,16.18596315383911,13.101058959960938,-0.015574338,5.516490217973049,100
3.7442546304270508,2.5460267066955566,-8.780984e-06,0.2629971504211426,0.024001121520996094,15.964962482452393,1101.1761662960052,21.384407195698746,64,650000,-66.13381790031511,50.13546439696203,16.25296115875244,13.157026290893555,-0.015895251,5.754081830089854,100
4.9412275318355405,2.583861827850342,-8.627476e-06,0.26799798011779785,0.02497696876525879,16.209989547729492,1117.6931281089783,18.615588544425403,65,660000,-38.422338856877616,65.5291555409186,16.50396180152893,13.35578179359436,-0.016924549,6.67800852593797,100
6.229830957586989,2.570699691772461,-8.477716e-06,0.25899696350097656,0.023967266082763672,15.970996856689453,1133.9610877037048,20.526995176563762,66,670000,-34.01258745474437,54.804606058087984,16.253961086273193,13.152191638946533,-0.015240743,8.670928394509103,100
6.416079860487611,2.573746681213379,-8.305735e-06,0.2599911689758301,0.02297520637512207,15.938988447189331,1150.1980488300323,22.465958309745012,67,680000,-57.77330876916629,66.93533652898893,16.222960948944092,13.108896970748901,-0.016414277,10.225638341075891,100
6.073290521749381,2.5414042472839355,-8.206959e-06,2.010434865951538,0.04999947547912598,16.002962827682495,1168.2754459381104,22.266149631596132,68,690000,-62.81172700760143,64.83913420810028,18.06339716911316,13.210820198059082,-0.017206995,9.437670864123877,100
10.134938094600678,2.5441548824310303,-8.058184e-06,0.26599836349487305,0.028974056243896484,15.953989028930664,1184.538406610489,18.681285923798033,69,700000,-35.870351726157885,66.1405130227452,16.248961448669434,13.14510202407837,-0.017035374,14.949334241834798,100
7.353197392056028,2.5810554027557373,-7.925709e-06,0.26599764823913574,0.025971174240112305,15.903992891311646,1200.7483682632446,21.260526499436942,70,710000,-37.53088191982943,63.861801982923346,16.195961713790894,13.074821949005127,-0.018492244,11.589419825538576,100
7.543718147434114,2.629976749420166,-7.817836e-06,0.6029679775238037,0.07603073120117188,16.225963592529297,1217.667330980301,20.300262960051853,71,720000,-57.711538337396014,54.11227169573628,16.905962467193604,13.28315019607544,-0.015434801,11.773920799200239,100
9.266437435737586,2.5166380405426025,-7.709222e-06,1.0609939098358154,0.07197737693786621,16.008988618850708,1234.8242902755737,21.828251221997757,72,730000,-50.09506592789943,64.58032828037324,17.14296054840088,13.234378576278687,-0.014030964,15.253347290563976,100
